accuracy,f1-score,mcc,precision,recall,runtime
0.7333333333333333,0.8367346938775511,0.21188419848578655,0.7454545454545455,0.9534883720930233,0.028785228729248047
0.6779661016949152,0.7956989247311828,0.07596344800675646,0.7254901960784313,0.8809523809523809,0.024333477020263672
0.7966101694915254,0.8723404255319149,0.37550428914529677,0.8541666666666666,0.8913043478260869,0.022176504135131836
0.7241379310344828,0.8222222222222223,0.20921842853240302,0.8043478260869565,0.8409090909090909,0.02100372314453125
0.7413793103448276,0.8351648351648352,0.4233736919305071,0.7169811320754716,1.0,0.02227187156677246
0.6379310344827587,0.7529411764705883,0.18680045486531396,0.64,0.9142857142857143,0.022990942001342773
0.6551724137931034,0.7777777777777777,0.05590169943749475,0.7,0.875,0.021591901779174805
0.6896551724137931,0.8085106382978724,0.022923383485725462,0.7450980392156863,0.8837209302325582,0.023552656173706055
0.7321428571428571,0.8314606741573034,0.1965021149155211,0.7872340425531915,0.8809523809523809,0.0278472900390625
0.7272727272727273,0.8351648351648352,0.10559273546969093,0.76,0.926829268292683,0.02837085723876953
